prefix,dim,type,accuracy_balanced,accuracy_train,precision,recall,run,hash_train,hash_test
clip_minmax_gaussian2c_minmax,2,stat,0.9959016393442623,0.9931972789115646,0.9946514837819186,0.9945652173913043,30,347f10051e7775e8f14e1c587ffded4bcac78bfd1156756e20412d20bc913ce4,a09c4b8c78360e820d1a763e3634f1478af79960d9c6e371eda13f7d9695ba3e
clip_minmax_gaussian2c_minmax,3,stat,0.9674775251189847,0.9965986394557823,0.967889492753623,0.967391304347826,30,347f10051e7775e8f14e1c587ffded4bcac78bfd1156756e20412d20bc913ce4,a09c4b8c78360e820d1a763e3634f1478af79960d9c6e371eda13f7d9695ba3e
clip_minmax_gaussian2c_minmax,2,bc,0.9797726070861978,0.9965986394557823,0.9836949278259711,0.9836956521739131,30,347f10051e7775e8f14e1c587ffded4bcac78bfd1156756e20412d20bc913ce4,a09c4b8c78360e820d1a763e3634f1478af79960d9c6e371eda13f7d9695ba3e
clip_minmax_gaussian2c_minmax,3,bc,0.9754098360655737,1.0,0.9702685421994885,0.967391304347826,30,347f10051e7775e8f14e1c587ffded4bcac78bfd1156756e20412d20bc913ce4,a09c4b8c78360e820d1a763e3634f1478af79960d9c6e371eda13f7d9695ba3e
clip_minmax_gaussian2c_minmax,2,pi,0.9431517715494446,1.0,0.9463088768115943,0.9456521739130435,30,347f10051e7775e8f14e1c587ffded4bcac78bfd1156756e20412d20bc913ce4,a09c4b8c78360e820d1a763e3634f1478af79960d9c6e371eda13f7d9695ba3e
clip_minmax_gaussian2c_minmax,3,pi,0.9554468535166578,0.9761904761904762,0.9618659782463825,0.9619565217391305,30,347f10051e7775e8f14e1c587ffded4bcac78bfd1156756e20412d20bc913ce4,a09c4b8c78360e820d1a763e3634f1478af79960d9c6e371eda13f7d9695ba3e
clip_minmax_gaussian2c_minmax,2,ent,0.9877049180327868,1.0,0.9844481605351171,0.9836956521739131,30,347f10051e7775e8f14e1c587ffded4bcac78bfd1156756e20412d20bc913ce4,a09c4b8c78360e820d1a763e3634f1478af79960d9c6e371eda13f7d9695ba3e
clip_minmax_gaussian2c_minmax,3,ent,0.9918032786885246,1.0,0.9894701086956522,0.9891304347826086,30,347f10051e7775e8f14e1c587ffded4bcac78bfd1156756e20412d20bc913ce4,a09c4b8c78360e820d1a763e3634f1478af79960d9c6e371eda13f7d9695ba3e
clip_minmax_gaussian2c_minmax,2,ecc,0.951216287678477,0.9591836734693877,0.9521809392653383,0.9510869565217391,30,347f10051e7775e8f14e1c587ffded4bcac78bfd1156756e20412d20bc913ce4,a09c4b8c78360e820d1a763e3634f1478af79960d9c6e371eda13f7d9695ba3e
clip_minmax_gaussian2c_minmax,3,ecc,0.9715758857747223,0.9829931972789115,0.9729950550108654,0.9728260869565217,30,347f10051e7775e8f14e1c587ffded4bcac78bfd1156756e20412d20bc913ce4,a09c4b8c78360e820d1a763e3634f1478af79960d9c6e371eda13f7d9695ba3e
clip_minmax_gaussian2c_minmax,2,all,0.9797726070861978,1.0,0.9836949278259711,0.9836956521739131,30,347f10051e7775e8f14e1c587ffded4bcac78bfd1156756e20412d20bc913ce4,a09c4b8c78360e820d1a763e3634f1478af79960d9c6e371eda13f7d9695ba3e
clip_minmax_gaussian2c_minmax,3,all,0.9878371232152301,1.0,0.9891304347826086,0.9891304347826086,30,347f10051e7775e8f14e1c587ffded4bcac78bfd1156756e20412d20bc913ce4,a09c4b8c78360e820d1a763e3634f1478af79960d9c6e371eda13f7d9695ba3e
clip_minmax_gaussian2c_minmax,2,stat,0.9676097303014278,1.0,0.9727804530361768,0.9728260869565217,31,3b12be4bfe1df3bdfaebea78a5e38c436cae090e3d9ab1ba1ea11977c457d6b3,e078c81eb3c078ecbdc9effaa156ec46323b3a3037e8d6c4824952c789c7831b
clip_minmax_gaussian2c_minmax,3,stat,0.9715758857747223,0.9795918367346939,0.9729950550108654,0.9728260869565217,31,3b12be4bfe1df3bdfaebea78a5e38c436cae090e3d9ab1ba1ea11977c457d6b3,e078c81eb3c078ecbdc9effaa156ec46323b3a3037e8d6c4824952c789c7831b
clip_minmax_gaussian2c_minmax,2,bc,0.9797726070861978,1.0,0.9836949278259711,0.9836956521739131,31,3b12be4bfe1df3bdfaebea78a5e38c436cae090e3d9ab1ba1ea11977c457d6b3,e078c81eb3c078ecbdc9effaa156ec46323b3a3037e8d6c4824952c789c7831b
