class,type,cell,microscope,filename,filetype,filepath,id_file,date,id_scene,pixel_size_z,pixel_size_y,pixel_size_x,id_scene_count,z,y,x,filepath_segmented,bad_segmentation,id_segment,segmented_filename
Wildtype,WT,ES,Airyscan,WT-ES-2i-A3-rCtcf-7X-20-Airyscan Processing-71.czi,czi,data/ES_Wildtype/Airyscan-22.09.23/WT-ES-2i-A3-rCtcf-7X-20-Airyscan Processing-71.czi,12,original,Image:0,0.18,0.0489443525157811,0.0489443525157811,0,47.0,272.0,272.0,data/segmented/ES_Wildtype_WT_Airyscan_all_idfile-12_idscene-0_one_bad.npz,1,0.0,ES_Wildtype_WT_Airyscan_all_idfile-12_idscene-0_one_bad.npz
Wildtype,WT,ES,Airyscan,WT-ES-2i-A3-rCtcf-7X-21-Airyscan Processing-72.czi,czi,data/ES_Wildtype/Airyscan-22.09.23/WT-ES-2i-A3-rCtcf-7X-21-Airyscan Processing-72.czi,13,original,Image:0,0.18,0.0489443525157811,0.0489443525157811,0,41.0,272.0,272.0,data/segmented/ES_Wildtype_WT_Airyscan_all_idfile-13_idscene-0.npz,0,0.0,ES_Wildtype_WT_Airyscan_all_idfile-13_idscene-0.npz
Wildtype,WT,ES,Airyscan,WT-ES-2i-A3-rCtcf-7X-22-Airyscan Processing-73.czi,czi,data/ES_Wildtype/Airyscan-22.09.23/WT-ES-2i-A3-rCtcf-7X-22-Airyscan Processing-73.czi,14,original,Image:0,0.18,0.0489443525157811,0.0489443525157811,0,41.0,272.0,272.0,data/segmented/ES_Wildtype_WT_Airyscan_all_idfile-14_idscene-0.npz,0,0.0,ES_Wildtype_WT_Airyscan_all_idfile-14_idscene-0.npz
Wildtype,WT,ES,Airyscan,WT-ES-2i-A3-rCtcf-7X-23-Airyscan Processing-74.czi,czi,data/ES_Wildtype/Airyscan-22.09.23/WT-ES-2i-A3-rCtcf-7X-23-Airyscan Processing-74.czi,15,original,Image:0,0.18,0.0489443525157811,0.0489443525157811,0,51.0,272.0,272.0,data/segmented/ES_Wildtype_WT_Airyscan_all_idfile-15_idscene-0_one_bad.npz,1,0.0,ES_Wildtype_WT_Airyscan_all_idfile-15_idscene-0_one_bad.npz
Wildtype,WT,ES,Airyscan,WT-ES-2i-A3-rCtcf-7X-24-Airyscan Processing-75.czi,czi,data/ES_Wildtype/Airyscan-22.09.23/WT-ES-2i-A3-rCtcf-7X-24-Airyscan Processing-75.czi,16,original,Image:0,0.18,0.0489443525157811,0.0489443525157811,0,51.0,272.0,272.0,data/segmented/ES_Wildtype_WT_Airyscan_all_idfile-16_idscene-0.npz,0,0.0,ES_Wildtype_WT_Airyscan_all_idfile-16_idscene-0.npz
Wildtype,WT,ES,Airyscan,WT-ES-2i-A3-rCtcf-7X-25-Airyscan Processing-76.czi,czi,data/ES_Wildtype/Airyscan-22.09.23/WT-ES-2i-A3-rCtcf-7X-25-Airyscan Processing-76.czi,17,original,Image:0,0.18,0.0489443525157811,0.0489443525157811,0,47.0,272.0,272.0,data/segmented/ES_Wildtype_WT_Airyscan_all_idfile-17_idscene-0.npz,0,0.0,ES_Wildtype_WT_Airyscan_all_idfile-17_idscene-0.npz
Wildtype,WT,ES,Airyscan,WT-ES-2i-A3-rCtcf-7X-26-Airyscan Processing-77.czi,czi,data/ES_Wildtype/Airyscan-22.09.23/WT-ES-2i-A3-rCtcf-7X-26-Airyscan Processing-77.czi,18,original,Image:0,0.18,0.0489443525157811,0.0489443525157811,0,51.0,272.0,272.0,data/segmented/ES_Wildtype_WT_Airyscan_all_idfile-18_idscene-0.npz,0,0.0,ES_Wildtype_WT_Airyscan_all_idfile-18_idscene-0.npz
Wildtype,WT,ES,Airyscan,WT-ES-2i-A3-rCtcf-7X-27-Airyscan Processing-78.czi,czi,data/ES_Wildtype/Airyscan-22.09.23/WT-ES-2i-A3-rCtcf-7X-27-Airyscan Processing-78.czi,19,original,Image:0,0.18,0.0489443525157811,0.0489443525157811,0,44.0,272.0,272.0,data/segmented/ES_Wildtype_WT_Airyscan_all_idfile-19_idscene-0.npz,0,0.0,ES_Wildtype_WT_Airyscan_all_idfile-19_idscene-0.npz
Wildtype,WT,ES,Airyscan,WT-ES-2i-A3-rCtcf-7X-28-Airyscan Processing-79.czi,czi,data/ES_Wildtype/Airyscan-22.09.23/WT-ES-2i-A3-rCtcf-7X-28-Airyscan Processing-79.czi,20,original,Image:0,0.18,0.0489443525157811,0.0489443525157811,0,67.0,272.0,272.0,data/segmented/ES_Wildtype_WT_Airyscan_all_idfile-20_idscene-0.npz,0,0.0,ES_Wildtype_WT_Airyscan_all_idfile-20_idscene-0.npz
Wildtype,WT,ES,Airyscan,WT-ES-2i-A3-rCtcf-7X-28-Airyscan Processing-79.czi,czi,data/ES_Wildtype/Airyscan-22.09.23/WT-ES-2i-A3-rCtcf-7X-28-Airyscan Processing-79.czi,20,original,Image:0,0.18,0.0489443525157811,0.0489443525157811,0,67.0,272.0,272.0,data/segmented/ES_Wildtype_WT_Airyscan_all_idfile-20_idscene-0.npz,0,1.0,ES_Wildtype_WT_Airyscan_all_idfile-20_idscene-0.npz
